run_date,match_date,tournament,level,surface,round,player_a,player_b,data_source,p_hold_a,p_hold_b,p_markov,p_elo,days_rest_a,days_rest_b,last_3sets_a,last_3sets_b,had_3sets_7d_a,had_3sets_7d_b,fatigue_flag_a,fatigue_flag_b,expected_games,unstable_reason,p_raw,p_cal,p_cal_adj,blowout_score,competitive_set,elite_pick,O7.5,U12.5,hold_asym,premium_u125,tb_p_raw,tb_p_cal
2026-07-02,2026-07-02T13:00:00,WIMBLEDON,Grand Slam,Grass,5,Diana Shnaider,Liudmila Samsonova,sackmann/sackmann,0.744,0.7771,0.43,0.5233,2,2,False,False,False,False,False,False,25.16,,0.9485,0.8743,0.8743,2,True,True,YES,no,0.0331,no,0.116,0.127
2026-07-02,2026-07-02T15:30:00,WIMBLEDON,Grand Slam,Grass,5,Karolina Pliskova,Iga Swiatek,sackmann/sackmann,0.6939,0.8898,0.0922,0.304,2,2,False,True,False,True,False,True,22.66,,0.9441,0.8711,0.8711,4,False,False,no,no,0.1959,no,0.1829,0.1565
2026-07-02,2026-07-02T16:00:00,WIMBLEDON,Grand Slam,Grass,5,Amanda Anisimova,Sofia Kenin,sackmann/sackmann,0.7767,0.7421,0.602,0.6503,2,17,False,True,False,False,False,False,24.97,,0.9358,0.8657,0.8657,2,True,True,YES,no,0.0346,no,0.1515,0.127
2026-07-02,2026-07-02T19:00:00,WIMBLEDON,Grand Slam,Grass,5,Caty Mcnally,Elena Rybakina,sackmann/sackmann,0.6637,0.7868,0.233,0.3311,2,2,False,True,False,True,False,True,23.89,,0.9317,0.8631,0.8631,4,False,False,no,YES,0.123,no,0.1018,0.0864
2026-07-02,2026-07-02T17:30:00,WIMBLEDON,Grand Slam,Grass,5,Sorana Cirstea,Kimberly Birrell,sackmann/sackmann,0.6591,0.7978,0.2033,0.5798,2,2,False,True,False,True,False,True,23.71,,0.9313,0.8629,0.8629,4,False,False,no,no,0.1387,no,0.1295,0.127
2026-07-02,2026-07-02T13:00:00,WIMBLEDON,Grand Slam,Grass,5,Daria Snigur,Leolia Jeanjean,sackmann/tennisabstract,0.7202,0.7158,0.5211,0.6799,2,2,False,False,False,False,False,False,24.85,hold_diff 0.0044 < 0.01,0.9242,0.8588,0.8588,2,True,True,no,YES,0.0044,no,0.0,0.0
2026-07-02,2026-07-02T19:30:00,WIMBLEDON,Grand Slam,Grass,5,Jasmine Paolini,Viktorija Golubic,sackmann/sackmann,0.7168,0.6978,0.5547,0.5921,2,2,True,True,True,True,True,True,24.63,,0.9226,0.8578,0.8578,2,True,True,no,no,0.019,no,0.1419,0.127
2026-07-02,2026-07-02T16:30:00,WIMBLEDON,Grand Slam,Grass,5,Kamilla Rakhimova,Maria Sakkari,sackmann/sackmann,0.7262,0.6931,0.5882,0.4884,2,2,True,False,True,False,True,False,24.55,,0.9205,0.8567,0.8567,2,True,True,no,YES,0.0331,no,0.0893,0.0864
2026-07-02,2026-07-02T14:30:00,WIMBLEDON,Grand Slam,Grass,5,Mariam Bolkvadze,Ashlyn Krueger,tennisabstract/sackmann,0.6327,0.7568,0.2374,0.3889,2,2,True,True,True,True,True,True,23.73,,0.9194,0.8561,0.8561,5,False,False,no,YES,0.1241,no,0.0,0.0
2026-07-02,2026-07-02T13:00:00,WIMBLEDON,Grand Slam,Grass,5,Tyra Caterina Grant,Marie Bouzkova,sackmann/sackmann,0.6351,0.7519,0.2514,0.0,2,2,False,True,True,True,True,True,23.93,,0.9177,0.8552,0.8552,5,False,False,no,no,0.1168,no,0.1114,0.127
2026-07-02,2026-07-02T15:00:00,WIMBLEDON,Grand Slam,Grass,5,Katie Swan,Madison Keys,sackmann/sackmann,0.6373,0.8581,0.0815,0.3976,2,2,False,True,False,True,False,True,22.04,,0.9137,0.8531,0.8531,5,False,False,no,no,0.2208,no,0.1782,0.1565
2026-07-02,2026-07-02T15:00:00,WIMBLEDON,Grand Slam,Grass,5,Anna Blinkova,Marta Kostyuk,sackmann/sackmann,0.7001,0.6158,0.6909,0.4073,2,2,True,False,True,False,True,False,23.91,,0.8923,0.8428,0.8428,6,False,False,no,no,0.0844,no,0.1205,0.127
2026-07-02,2026-07-02T15:00:00,WIMBLEDON,Grand Slam,Grass,5,Alexandra Eala,Maya Joint,sackmann/tennisabstract,0.6591,0.5567,0.718,0.5118,2,2,False,True,False,True,False,True,23.55,,0.8793,0.8372,0.8372,6,False,False,no,YES,0.1024,no,0.0,0.0
2026-07-02,2026-07-02T13:00:00,WIMBLEDON,Grand Slam,Grass,5,Emma Navarro,Oksana Selekhmeteva,sackmann/tennisabstract,0.698,0.5694,0.7695,0.5657,2,2,True,False,True,False,True,False,23.25,,0.8729,0.8346,0.8346,8,False,False,no,YES,0.1286,no,0.0901,0.0864
2026-07-02,2026-07-02T18:30:00,WIMBLEDON,Grand Slam,Grass,5,Serrano Maria Camila Osorio,Linda Noskova,sackmann/sackmann,0.5258,0.8828,0.0131,0.3975,2,2,False,False,False,False,False,False,18.86,extreme p_match=0.0131,0.8136,0.8132,0.8132,8,False,False,no,no,0.3569,no,0.1876,0.1565
